File Path,Framework Name,Warnings,m-xylene_absolute_mol_per_kg,o-xylene_absolute_mol_per_kg,p-xylene_absolute_mol_per_kg
/home/zjp/raspa2-calc/work/10/mc1__done/output/output_100_1000.s0.txt,0000[Cd][sql]2[ASR]3,,,,
/home/zjp/raspa2-calc/work/10/mc2__done/output/output_100_1000.s0.txt,0000[Cd][sra]3[ASR]2,,,,
/home/zjp/raspa2-calc/work/10/mc3__done/output/output_100_1000.s0.txt,0000[Co][nan]3[ASR]12,,,,
/home/zjp/raspa2-calc/work/10/mc4__done/output/output_100_1000.s0.txt,0000[Co][pcu]3[ASR]2,,,,
/home/zjp/raspa2-calc/work/10/mc5__done/output/output_100_1000.s0.txt,0000[Co][pcu]3[ASR]4,,,,
/home/zjp/raspa2-calc/work/10/mc6__done/output/output_100_1000.s0.txt,0000[Cu][dia]3[ASR]2,,,,
/home/zjp/raspa2-calc/work/10/mc7__done/output/output_100_1000.s0.txt,0000[Cu][nan]3[ASR]2,,,,
/home/zjp/raspa2-calc/work/10/mc8__done/output/output_100_1000.s0.txt,0000[Cu][pcu]3[ASR]1,,,,
/home/zjp/raspa2-calc/work/10/mc9__done/output/output_100_1000.s0.txt,0000[Cu][ths]3[ASR]3,,,,
/home/zjp/raspa2-calc/work/10/mc10__done/output/output_100_1000.s0.txt,0000[Dy][flu]3[ASR]1,,,,
